nameStd,nameAlt,subtitile,hasRD,hasGR,hasYL,hasBL,hasOR,hasSV,platformType,WBDir,EBDir,compassN
Addison Road,Addison Rd,Seat Pleasant,,,,TRUE,,TRUE,Island,Ashburn/Franconia-Springfield,Largo,n
Anacostia,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,w
Archives,,Navy Mem'l-Penn Quarter,,TRUE,TRUE,,,,Island,Greenbelt/Mt Vernon Sq,Branch Ave/Huntington,w
Arlington Cemetery,,,,,,TRUE,,,Side,Franconia-Springfield,Largo,se
Ashburn,,,,,,,,TRUE,Terminus WB,Ashburn,Ashburn,nw
Ballston-MU,,,,,,,TRUE,TRUE,Side,Ashburn/Vienna,Largo/New Carrollton,n
Benning Road,Benning Rd,,,,,TRUE,,TRUE,Island,Ashburn/Franconia-Springfield,Largo,nw
Bethesda,,,TRUE,,,,,,Island,Shady Grove,Glenmont,w
Braddock Road,Braddock Rd,,,,TRUE,TRUE,,,Island,Franconia-Springfield/Huntington,Largo/Mt Vernon Sq,sw
Branch Avenue,Branch Ave,,,TRUE,,,,,Terminus EB,Branch Ave,Branch Ave,nw
Brookland-CUA,,,TRUE,,,,,,Island,Shady Grove,Glenmont,e
Capitol Heights,,,,,,TRUE,,TRUE,Island,Ashburn/Franconia-Springfield,Largo,n
Capitol South,,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Cheverly,,,,,,,TRUE,,Side,Vienna,New Carrollton,ne
Clarendon,,,,,,,TRUE,TRUE,Side,Ashburn/Vienna,Largo/New Carrollton,ne
Cleveland Park,,,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
College Park-U of Md,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,sw
Columbia Heights,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,w
Congress Heights,,,,TRUE,,,,,Island,Greenbelt,Branch Ave,nw
Court House,,,,,,,TRUE,TRUE,Island,Ashburn/Vienna,Largo/New Carrollton,n
Crystal City,,,,,TRUE,TRUE,,,Side,Franconia-Springfield/Huntington,Largo/Mt Vernon Sq,n
Deanwood,,,,,,,TRUE,,Island,Vienna,New Carrollton,ne
Downtown Largo,Largo,,,,,TRUE,,TRUE,Terminus EB,Largo,Largo,ne
Dulles International Airport,Washington Dulles International Airport,,,,,,,TRUE,Island,Ashburn,Largo,n
Dunn Loring,,Merrifield,,,,,TRUE,,Island,Vienna,New Carrollton,n
Dupont Circle,,,TRUE,,,,,,Side,Shady Grove,Glenmont,nw
East Falls Church,,,,,,,TRUE,TRUE,Island,Ashburn/Vienna,Largo/New Carrollton,n
Eastern Market,,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,nw
Eisenhower Avenue,Eisenhower Ave,,,,TRUE,,,,Side,Huntington,Mt Vernon Sq,sw
Farragut North,,,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
Farragut West,,,,,,TRUE,TRUE,TRUE,Side,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Federal Center SW,,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Federal Triangle,,,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,w
Foggy Bottom-GWU,,Kennedy Center,,,,TRUE,TRUE,TRUE,Island,Ashburn/Franconia-Springfield/Vienna,Largo/New Carrollton,n
Forest Glen,,,TRUE,,,,,,Gap Island,Shady Grove,Glenmont,e
Fort Totten (Lower Level),,,,TRUE,,,,,Island,Greenbelt,Branch Ave,s
Fort Totten (Upper Level),,,TRUE,,,,,,Island,Shady Grove,Glenmont,e
Franconia-Springfield,,,,,,TRUE,,,Terminus WB,Franconia-Springfield,Franconia-Springfield,ne
Friendship Heights,,,TRUE,,,,,,Island,Shady Grove,Glenmont,nw
Gallery Place (Lower Level),Gallery Pl,Chinatown,,TRUE,TRUE,,,,Island,Greenbelt/Mt Vernon Sq,Branch Ave/Huntington,w
Gallery Place (Upper Level),Gallery Pl,Chinatown,TRUE,,,,,,Side,Shady Grove,Glenmont,n
