nameStd,icon,y,x,dir,zDir,pref,x2,exitLabel,group
Addison Road,esc,3,2,nw,u,,,,
Addison Road,el,1,2,,,,,,
Anacostia,esc,3,2,nw,u,,,1,1
Anacostia,el,1,2,,,,,,1
Anacostia,el,3,71,,,,,2,2
Anacostia,esc,1,71,ne,u,,,,2
Archives,el,2,3,,,,,,
Archives,esc,2,24,nw,u,,,,
Arlington Cemetery,esc,2,45,ne,d,,,,
Arlington Cemetery,el,2,46.5,,,,,,
Arlington Cemetery,esc,1,45,nw,d,,,,
Arlington Cemetery,el,1,46.5,,,,,,
Ashburn,esc,3,34.5,ne,u,,,,
Ashburn,stair,1,35.5,ne,u,,,,
Ashburn,stair,1,44.5,ne,u,TRUE,,,
Ashburn,el,2,54.5,,,,,,
Ballston-MU,esc,2,47,ne,u,,,,
Ballston-MU,esc,2,53.5,ne,u,TRUE,,,
Ballston-MU,el,2,70,,,,,,
Ballston-MU,esc,1,47,ne,u,,,,
Ballston-MU,esc,1,53.5,ne,u,TRUE,,,
Ballston-MU,el,1,70,,,,,,
Benning Road,esc,2,55,ne,u,,,,
Benning Road,el,2,66,,,,,,
Bethesda,el,2,7,,,,,,
Bethesda,stair,2,21,nw,u,TRUE,,,
Bethesda,esc,2,29.5,nw,u,,,,
Braddock Road,esc,2,36,nw,d,,,,
Braddock Road,el,2,47.5,,,,,,
Branch Avenue,el,2,17,,,,,,
Branch Avenue,stair,2,26,nw,u,TRUE,,,
Branch Avenue,esc,2,35.5,nw,u,,,,
Brookland-CUA,esc,2,42.5,ne,d,,,,
Brookland-CUA,el,2,57,,,,,,
Capitol Heights,esc,2,50.5,ne,u,,,,
Capitol Heights,el,2,62.5,,,,,,
Capitol South,el,2,5,,,,,,
Capitol South,stair,2,17,nw,u,TRUE,,,
Capitol South,esc,2,26,nw,u,,,,
Cheverly,el,2,25,,,,,,
Cheverly,esc,2,34.5,ne,u,,,,
Cheverly,el,1,25,,,,,,
Cheverly,esc,1,34.5,ne,u,,,,
Clarendon,el,2,36.5,,,,,,
Clarendon,esc,2,43.5,nw,u,,,,
Clarendon,el,1,36.5,,,,,,
Clarendon,esc,1,50.5,nw,u,,,,
Cleveland Park,el,2,5,,,,,,
Cleveland Park,stair,1,14,nw,u,,,,
Cleveland Park,esc,3,14.5,nw,u,,,,
College Park-U of Md,esc,3,20,nw,d,,,,
College Park-U of Md,stair,1,20,nw,d,,,,
College Park-U of Md,el,2,32,,,,,,
College Park-U of Md,stair,1,41,ne,d,,,,
Columbia Heights,el,2,8.5,,,,,,
Columbia Heights,stair,2,14,nw,u,TRUE,,,
Columbia Heights,esc,2,22.5,nw,u,,,,
Congress Heights,esc,2,42.5,ne,u,,,,
Congress Heights,stair,2,51,ne,u,,,,
Congress Heights,stair,2,59,ne,u,TRUE,,,
Congress Heights,el,2,64.5,,,,,,
Court House,esc,2,50,ne,u,,,,
Court House,stair,2,59,ne,u,TRUE,,,
Court House,el,2,66,,,,,,
Crystal City,esc,2,24.5,ne,u,,,,
Crystal City,el,2,33,,,,,,
Crystal City,esc,2,54.5,nw,u,,,,
Crystal City,esc,1,24.5,ne,u,,,,
Crystal City,el,1,33,,,,,,
Crystal City,esc,1,54.5,nw,u,,,,
Deanwood,esc,2,25,nw,d,,,,
Deanwood,el,2,45,,,,,,
Downtown Largo,esc,1,23,nw,d,TRUE,,,
Downtown Largo,stair,3,24,nw,d,TRUE,,,
Downtown Largo,el,2,35,,,,38,,
Downtown Largo,stair,3,49,ne,d,,,,
Downtown Largo,esc,1,50,ne,d,,,,
Downtown Largo,stair,3,57,ne,d,,,,
Dulles International Airport,stair,2,21,ne,d,,,,
Dulles International Airport,el,2,25.5,,,,26,,
Dulles International Airport,el,2,31,,,,31.5,,
Dulles International Airport,esc,2,51,ne,d,TRUE,,,
Dunn Loring,exit,2,2,w,,,,,
Dupont Circle,el,2,5,,,,,,1
Dupont Circle,esc,2,21,nw,u,,,1,1
Dupont Circle,esc,2,52,ne,u,,,2,
Dupont Circle,el,1,5,,,,,,2
Dupont Circle,esc,1,21,nw,u,,,1,2
Dupont Circle,esc,1,52,ne,u,,,2,
East Falls Church,esc,3,25,nw,d,,,,
East Falls Church,el,2,31,,,,,,
East Falls Church,esc,2,33,nw,d,TRUE,,,
Eastern Market,esc,2,26,ne,u,,,,
Eastern Market,el,2,40,,,,,,
Eisenhower Avenue,exit,2,32,n,,,,,
Eisenhower Avenue,el,2,37,,,,,,
Eisenhower Avenue,exit,1,32,s,,,,,
Eisenhower Avenue,el,1,37,,,,,,
Farragut North,esc,2,2,nw,u,,,1,
Farragut North,esc,2,34,nw,u,,,2,1
Farragut North,esc,2,38,ne,u,,,,1
Farragut North,el,2,47,,,,,3,1
Farragut West,el,2,5,,,,,,1
Farragut West,esc,2,19,nw,u,,,1,1
Farragut West,esc,2,49.5,ne,u,,,2,
Farragut West,el,1,5,,,,,,2
Farragut West,esc,1,19,nw,u,,,1,2
Farragut West,esc,1,49.5,ne,u,,,2,
Federal Center SW,esc,2,25,ne,u,,,,
Federal Center SW,el,2,45,,,,,,
Federal Triangle,esc,3,24.5,ne,u,,,,
Federal Triangle,el,2,35,,,,,,
Federal Triangle,esc,2,49,nw,u,,,,
Foggy Bottom-GWU,el,2,13,,,,,,
Foggy Bottom-GWU,esc,2,34,nw,u,,,,
Forest Glen,exit,2,52,s,,,54,,
Forest Glen,exit,1,52,n,,,54,,
Fort Totten (Lower Level),el,1,2,,,,,,
Fort Totten (Lower Level),stair,2,9,nw,u,TRUE,,,
Fort Totten (Lower Level),esc,2,15,nw,u,,,,
Fort Totten (Upper Level),esc,2,26,nw,d,,,,
Fort Totten (Upper Level),el,2,37,,,,,,
Fort Totten (Upper Level),esc,2,47,ne,d,,,,
Franconia-Springfield,el,2,19,,,,,,
Franconia-Springfield,esc,2,31,nw,u,TRUE,,,
Franconia-Springfield,stair,1,38,nw,u,,,,
Franconia-Springfield,esc,3,38.5,nw,u,,,,
Friendship Heights,el,3,10,,,,,,1
Friendship Heights,esc,1,14.5,nw,u,TRUE,,,1
Friendship Heights,esc,2,22.5,nw,u,,,1,1
Friendship Heights,esc,2,50.5,ne,u,,,2,2
Friendship Heights,stair,1,57.5,ne,u,TRUE,,,2
Friendship Heights,el,3,60,,,,,,2
Gallery Place (Lower Level),esc,2,13,nw,u,TRUE,,3,1
Gallery Place (Lower Level),esc,1,17,ne,u,,,,1
Gallery Place (Lower Level),stair,3,17.5,ne,u,,,,1
Gallery Place (Lower Level),el,2,24,,,,,4,1
Gallery Place (Lower Level),esc,2,33,nw,u,TRUE,,1,1
Gallery Place (Lower Level),esc,2,41,ne,u,TRUE,,2,2
Gallery Place (Lower Level),esc,3,57,nw,u,,,,2
Gallery Place (Lower Level),el,1,58,,,,,5,2
Gallery Place (Lower Level),stair,1,66.5,nw,u,,,,2
Gallery Place (Lower Level),esc,3,67,nw,u,,,,2
Gallery Place (Upper Level),esc,2,20.5,nw,u,,,1,
Gallery Place (Upper Level),exit,2,64.5,n,,,66.5,2,1
Gallery Place (Upper Level),exit,2,69,n,,,70,,1
Gallery Place (Upper Level),esc,1,20.5,nw,u,,,1,
Gallery Place (Upper Level),exit,1,64.5,s,,,66.5,3,2
Gallery Place (Upper Level),exit,1,69,s,,,70,,2
Georgia Avenue-Petworth,esc,2,50.5,ne,u,,,,
Georgia Avenue-Petworth,stair,2,59,ne,u,TRUE,,,
Georgia Avenue-Petworth,el,2,64.5,,,,,,
Glenmont,esc,2,30,ne,u,,,,
Glenmont,el,2,46,,,,,,
Glenmont,stair,2,54,nw,u,,,,
Greenbelt,stair,1,25.5,nw,d,,,,
Greenbelt,el,2,35.5,,,,,,
Greenbelt,esc,3,47.5,ne,d,,,,
Greenbelt,stair,1,47.5,ne,d,,,,
Greensboro,esc,1,35,ne,u,,,,
Greensboro,stair,3,36.5,ne,u,,,,
Greensboro,stair,3,44.5,ne,u,TRUE,,,
Greensboro,el,2,56.5,,,,,,
Grosvenor-Strathmore,esc,2,49,ne,u,,,,
Grosvenor-Strathmore,el,2,71,,,,,,
Herndon,esc,3,30.5,ne,u,,,,
Herndon,stair,1,31.5,ne,u,,,,
Herndon,stair,1,38.5,ne,u,TRUE,,,
Herndon,el,2,50.5,,,,,,
Huntington,esc,2,18.5,ne,d,TRUE,,1,1
Huntington,stair,3,26,ne,d,,,,1
Huntington,el,1,26,,,,,,1
Huntington,el,3,71,,,,,2,2
Huntington,esc,1,71,ne,d,,,,2
Hyattsville Crossing,el,2,12,,,,,,
Hyattsville Crossing,stair,2,23,nw,u,TRUE,,,
Hyattsville Crossing,stair,2,32,nw,u,,,,
Hyattsville Crossing,esc,2,32.5,nw,u,,,,
